epoch,train_loss,train_acc,val_loss,val_acc
1,6.712302555564706,0.3450670498084291,1.5825084423025448,0.39295392953929537
2,1.9897913036455634,0.4396551724137931,1.253461924691995,0.5203252032520326
3,1.3962131324615188,0.5727969348659003,1.1433047315804288,0.6720867208672087
4,1.0053235483533554,0.7009099616858238,0.6552734724245965,0.8062330623306233
5,0.7549339096054776,0.7720306513409961,0.8116141483963778,0.7425474254742548
6,0.5885544646218532,0.8182471264367817,0.554846805074097,0.8143631436314364
7,0.4304452135817695,0.8668582375478927,0.47567109880037606,0.8604336043360433
8,0.3754525280749525,0.8845785440613027,0.36231385389358667,0.8915989159891599
9,0.34042145920391303,0.9011015325670498,0.21430796710774302,0.9363143631436315
10,0.30615073422552974,0.9130747126436781,0.27117716135156417,0.9336043360433605
11,0.2353608164907867,0.9262452107279694,0.2857771826869187,0.9295392953929539
12,0.16813837316772326,0.9506704980842912,0.1830878349719569,0.9498644986449865
13,0.1407791893166767,0.9583333333333334,0.29980369431238313,0.9498644986449865
14,0.08954969949941222,0.9727011494252874,0.3113981498318026,0.9552845528455285
15,0.07336253163287904,0.9738984674329502,0.18996297506115903,0.9607046070460704
16,0.0691678678923027,0.978448275862069,0.23019814201921443,0.9471544715447154
17,0.04194052061355959,0.9846743295019157,0.1961410456666878,0.9539295392953929
